iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,Cluster
0,6739,0.12222833633422851,0.0004452025412045477,0.006675100326538086,9.710933603207702e-05,0.1,5,"{'learning_rate': 0.1, 'n_estimators': 5}",0.6985894580549369,0.694135115070527,0.7082405345211581,0.6896807720861173,0.6978470675575352,0.697698589458055,0.006147065046617489,23,0.7104433314783899,0.7004266369875719,0.7160081617510666,0.6792802819514004,0.7082173993693193,0.7028751623075495,0.012814101693599802,0
0,6739,1.1690860748291017,0.02570995242583739,0.03134388923645019,0.0004226209481682384,0.1,50,"{'learning_rate': 0.1, 'n_estimators': 50}",0.7119524870081663,0.7030438010393467,0.7319970304380103,0.7230883444691908,0.7223459539717891,0.7184855233853007,0.009997770375371876,20,0.7226859580782786,0.7249118901873493,0.7334446299387869,0.7121127805601929,0.7243554071600816,0.7235021331849378,0.006811053193131287,0
0,6739,2.264802074432373,0.14905130501240638,0.05518927574157715,0.008144373517682508,0.1,100,"{'learning_rate': 0.1, 'n_estimators': 100}",0.7394209354120267,0.7149220489977728,0.7505567928730512,0.732739420935412,0.7305122494432071,0.7336302895322939,0.011666637731589135,16,0.7445742904841403,0.7317751808569839,0.7480986829901688,0.7241699128176591,0.7429048414023373,0.7383045817102579,0.008931046942337229,0
0,6739,2.6101419925689697,0.036662997976528396,0.05922880172729492,0.0021262404606708697,0.1,150,"{'learning_rate': 0.1, 'n_estimators': 150}",0.7498144023756496,0.7208611729769859,0.7572383073496659,0.7357089829250185,0.7297698589458055,0.738678544914625,0.013222056042104323,13,0.7529215358931552,0.7430903357447598,0.7562604340567612,0.7364125394175478,0.7464292339083658,0.7470228158041179,0.007050151679985374,0
0,6739,0.09779448509216308,0.0031471317081674024,0.004977512359619141,0.00021635544312424446,0.5,5,"{'learning_rate': 0.5, 'n_estimators': 5}",0.7060133630289532,0.7082405345211581,0.7230883444691908,0.7015590200445434,0.7074981440237565,0.7092798812175205,0.007282998347991523,21,0.7167501391207568,0.7156371730662214,0.7249118901873493,0.6915229085512892,0.7171211278056019,0.7131886477462437,0.0113223898949584,0
0,6739,0.8890104770660401,0.01956397011564787,0.02114109992980957,0.00021322488932746955,0.5,50,"{'learning_rate': 0.5, 'n_estimators': 50}",0.7483296213808464,0.7364513734224202,0.7594654788418709,0.7483296213808464,0.7334818114328137,0.7452115812917596,0.009348226422388854,10,0.7603413095900575,0.7577443887961417,0.7633092190688184,0.7475421999629012,0.7586718605082545,0.7575217955852346,0.005336824067771574,0
0,6739,1.7088753223419189,0.007122462650665807,0.039280939102172854,0.0002882211189835249,0.5,100,"{'learning_rate': 0.5, 'n_estimators': 100}",0.7386785449146251,0.749072011878248,0.7654046028210839,0.746844840386043,0.7394209354120267,0.7478841870824053,0.009652218537873803,5,0.773511407902059,0.7709144871081433,0.773882396586904,0.7532925245780003,0.7672046002596921,0.7677610832869598,0.0076174737259643785,0
0,6739,3.1009987354278565,0.4318818454008795,0.07548670768737793,0.01474615791397679,0.5,150,"{'learning_rate': 0.5, 'n_estimators': 150}",0.7386785449146251,0.7475872308834447,0.7691165553080921,0.7446176688938382,0.7371937639198218,0.7474387527839644,0.011485719142279863,6,0.7796327212020033,0.778519755147468,0.7787052494898905,0.7573734001112966,0.7714709701354109,0.7731404192172139,0.008407621873027056,0
0,6739,0.12397994995117187,0.0006449116108380618,0.006693744659423828,0.00010011463849875438,1.0,5,"{'learning_rate': 1.0, 'n_estimators': 5}",0.7045285820341499,0.688195991091314,0.7334818114328137,0.7052709725315516,0.7060133630289532,0.7074981440237564,0.014585659023302527,22,0.7161936560934892,0.7084028937117418,0.7299202374327582,0.707475421999629,0.7095158597662772,0.7143016138007792,0.008388283055172537,0
0,6739,1.1737846374511718,0.02979948638644004,0.0334841251373291,0.0026237230281961027,1.0,50,"{'learning_rate': 1.0, 'n_estimators': 50}",0.726800296956199,0.7275426874536006,0.7446176688938382,0.7282850779510023,0.7253155159613957,0.730512249443207,0.007120759500093133,17,0.7660916342051567,0.7679465776293823,0.7655351511778891,0.7460582452235207,0.7564459283991838,0.7604155073270265,0.00821017321825148,0
